,ID,City,Restaurant,Average Cost for two,Aggregate rating,Votes,Cuisine,Address,Price Range
8374,421134,Chennai,The Hut,400.0,2.9,80,"Fast Food,Beverages","Purasawalkam, Purasawalkam, Chennai",1
8375,421716,Surat,Jalaram Thali,400.0,2.9,80,"Punjabi,Snacks,Chinese","Athwa, Athwa, Surat",1
8376,421739,Hyderabad,Bhavani Tiffins,500.0,2.9,80,South Indian,"Mehdipatnam, Mehdipatnam, Hyderabad",1
8377,422113,Mumbai,Banglore Iyangars Bakery And Cake,400.0,2.9,80,Bakery  Desserts,"Ghatkopar Vikhroli, Ghatkopar Vikhroli, Mumbai",1
8378,422290,Ahmedabad,Baa Gruh Udhyog  Fast Food Services,600.0,2.9,80,"Fast Food,Snacks,Sweets","Paldi & Ambawadi, Paldi & Ambawadi, Ahmedabad",1
8379,422416,Mumbai,Gupta Bhelpuri Stall,200.0,2.9,80,Chaat,"Chembur, Chembur, Mumbai",1
8380,422630,Mumbai,Dosa Zone,200.0,2.9,80,South Indian,"Scruz Bandra East, Scruz Bandra East, Mumbai",1
8381,422674,Bangalore,Brown Burger Co Jayanagar,398.0,4.4,20,"Fast Food,Beverages","Jayanagar, Jayanagar, Bangalore",1
8382,423071,Ahmedabad,Kailash Bhel Pakodi Centre,200.0,4.2,20,Indian,"Navrangpura, Navrangpura, Ahmedabad",1
8383,423110,Kolkata,Sugarroom,600.0,2.9,80,"Bakery,Beverages","Burrabazar, Burrabazar, Kolkata",1
8384,423208,Bangalore,Bangarpete Chats,398.0,2.9,80,Snacks,"Malleshwaram, Malleshwaram, Bangalore",1
8385,423422,Surat,La Pino'Z Pizza,600.0,4.2,100,"Pizzas,Pastas,Beverages","Athwa, Parvat Patiya, Surat",1
8386,423622,Pune,Mrigaya - Pukht Biryani And Mandi,600.0,2.9,80,South Indian,"Shivaji Nagar, Shivaji Nagar, Pune",1
8387,423786,Pune,Sudama Bhel,400.0,2.9,80,"Fast Food,Chaat","Viman Nagar, Viman Nagar, Pune",1
8388,423945,Surat,Milk Palace,600.0,2.9,80,Desserts,"Honey Park, Honey Park, Surat",1
